id,name,full_name,team,position,cost,total_points,minutes,goals,assists,clean_sheets,yellow_cards,red_cards,chance_of_playing_next_round,news,status,form,selected_by_percent,transfers_in,transfers_out,games_played,bonus_points,influence,creativity,threat,ict_index
56,Barrenechea,Enzo Barrenechea,Aston Villa,3,5.0,0,0,0,0,0,0,0,0.0,Season-long loan to Benfica,u,0.0,0.0,0,32,0,0,0.0,0.0,0.0,0.0
57,Dobbin,Lewis Dobbin,Aston Villa,3,5.0,0,0,0,0,0,0,0,0.0,Has joined Preston North End on loan for the rest of the season.,u,0.0,0.0,889,5266,0,0,0.0,0.0,0.0,0.0
58,Kamara,Boubacar Kamara,Aston Villa,3,4.9,40,890,1,2,4,3,0,100.0,,a,4.8,0.2,24585,27872,11,4,225.2,153.1,38.0,41.7
59,Onana,Amadou Onana,Aston Villa,3,4.8,36,590,2,0,3,2,0,100.0,,a,5.2,0.7,88466,207033,7,3,200.2,36.7,61.0,29.7
60,Broggio,Ben Broggio,Aston Villa,3,4.5,0,0,0,0,0,0,0,,,a,0.0,0.3,31460,37366,0,0,0.0,0.0,0.0,0.0
61,Dendoncker,Leander Dendoncker,Aston Villa,3,4.5,0,0,0,0,0,0,0,0.0,Has joined Real Oviedo permanently.,u,0.0,0.1,2169,31869,0,0,0.0,0.0,0.0,0.0
62,Jimoh-Aloba,Jamaldeen Jimoh-Aloba,Aston Villa,3,4.5,0,0,0,0,0,0,0,,,a,0.0,0.1,5919,6835,0,0,0.0,0.0,0.0,0.0
63,Young,Kadan Young,Aston Villa,3,4.4,0,0,0,0,0,0,0,,,a,0.0,0.6,57982,79802,0,0,0.0,0.0,0.0,0.0
64,Watkins,Ollie Watkins,Aston Villa,4,8.5,43,1054,3,0,5,0,0,100.0,,a,4.5,6.6,640732,2853383,12,5,150.6,139.1,329.0,61.8
65,Redmond,Zépiqueno Redmond,Aston Villa,4,4.5,0,0,0,0,0,0,0,0.0,has joined Huddersfield Town on loan for the rest of the season.,u,0.0,0.3,17574,80170,0,0,0.0,0.0,0.0,0.0
389,Elliott,Harvey Elliott,Aston Villa,3,5.3,4,97,0,0,0,0,0,100.0,,a,0.0,0.2,90368,93894,1,0,8.6,17.8,18.0,4.4
456,Sancho,Jadon Sancho,Aston Villa,3,5.8,6,111,0,0,0,0,0,100.0,,a,0.8,0.2,30892,34772,0,0,18.0,43.6,70.0,13.3
677,Guessand,Evann Guessand,Aston Villa,3,6.2,22,505,0,2,1,0,0,,,a,2.2,0.0,5026,9470,6,0,75.4,42.3,107.0,22.2
688,Wright,James Wright,Aston Villa,1,3.9,0,0,0,0,0,0,0,,,a,0.0,0.6,35719,22720,0,0,0.0,0.0,0.0,0.0
701,Rowe,Triston Rowe,Aston Villa,2,4.0,0,0,0,0,0,0,0,0.0,has joined Annecy on loan for the rest of the season.,u,0.0,0.1,8943,9488,0,0,0.0,0.0,0.0,0.0
702,Burrowes,Bradley Burrowes,Aston Villa,3,4.4,1,16,0,0,0,0,0,,,a,0.0,0.1,7856,6365,0,0,0.0,0.3,0.0,0.0
