id,web_name,full_name,team_id,team_name,position,status,status_description,chance_of_playing_next,news,minutes,starts,goals_scored,assists,yellow_cards,red_cards,influence,creativity,threat,ict_index,current_gameweek
666,Gyökeres,Viktor Gyökeres,1,Arsenal,FWD,a,Available,100.0,,1289,16,5,0,3,0,199.8,136.4,430.0,76.2,21
700,Dowman,Max Dowman,1,Arsenal,MID,i,Injured,0.0,Ankle injury - Unknown return date,27,0,0,1,0,0,1.0,0.8,26.0,2.8,21
711,Harriman-Annous,Andre Harriman-Annous,1,Arsenal,MID,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
725,Hincapie,Piero Hincapié,1,Arsenal,DEF,d,Doubtful,75.0,Muscle injury - 75% chance of playing,889,10,0,0,2,0,188.6,58.3,20.0,26.6,21
759,Salmon,Marli Salmon,1,Arsenal,DEF,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
32,Martinez,Emiliano Martínez Romero,2,Aston Villa,GK,d,Doubtful,75.0,Calf injury - 75% chance of playing,1485,17,0,0,1,0,379.6,3.0,0.0,38.2,21
33,M.Bizot,Marco Bizot,2,Aston Villa,GK,a,Available,,,405,4,0,0,2,0,92.8,0.0,0.0,9.3,21
34,Gauci,Joe Gauci,2,Aston Villa,GK,u,Unavailable,0.0,Has joined Port Vale on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
35,Marschall,Filip Marschall,2,Aston Villa,GK,u,Unavailable,0.0,Has joined Stevenage permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
36,Cash,Matty Cash,2,Aston Villa,DEF,a,Available,100.0,,1771,20,3,2,5,0,425.2,295.3,123.0,84.4,21
37,Digne,Lucas Digne,2,Aston Villa,DEF,a,Available,100.0,,1192,14,0,3,2,0,237.8,277.5,89.0,60.2,21
38,Konsa,Ezri Konsa Ngoyo,2,Aston Villa,DEF,a,Available,100.0,,1775,20,0,0,0,1,360.2,71.4,72.0,50.7,21
39,Maatsen,Ian Maatsen,2,Aston Villa,DEF,a,Available,,,688,7,0,0,1,0,139.4,138.5,103.0,38.3,21
40,Mings,Tyrone Mings,2,Aston Villa,DEF,a,Available,100.0,,497,6,0,0,0,0,120.2,44.6,25.0,19.0,21
41,Pau,Pau Torres,2,Aston Villa,DEF,a,Available,100.0,,952,10,0,1,0,0,207.6,17.3,26.0,25.3,21
42,A.García,Andrés García,2,Aston Villa,DEF,a,Available,100.0,,30,0,0,0,0,0,0.6,1.5,0.0,0.2,21
43,Alex Moreno,Álex Moreno Lopera,2,Aston Villa,DEF,u,Unavailable,0.0,Has joined Girona permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
