player_id,player_name,games_played,recent_minutes_last_5,recent_games_last_5,avg_minutes_per_game_last_5,times_unavailable_last_10,max_consecutive_unavailable,total_minutes_last_10,games_started_last_10,workload_trend
734,Dilane Bakwa,12,0,0,0.0,8,8,84,1,decreasing
528,Anthony Patterson,15,0,0,0.0,10,15,0,0,stable
529,Simon Moore,15,0,0,0.0,10,15,0,0,stable
530,Blondy Nna Noukeu,15,0,0,0.0,10,15,0,0,stable
531,Daniel Ballard,15,450,5,90.0,0,2,788,8,increasing
532,Trai Hume,15,383,5,76.6,0,0,821,9,stable
533,Aji Alese,15,0,0,0.0,10,15,0,0,stable
534,Joe Anderson,15,0,0,0.0,10,15,0,0,stable
535,Dennis Cirkin,15,0,0,0.0,10,15,0,0,stable
536,Leo Fuhr Hjelde,15,0,0,0.0,10,15,0,0,stable
537,Niall Huggins,15,0,0,0.0,10,15,0,0,stable
538,Zak Johnson,15,0,0,0.0,10,15,0,0,stable
539,Luke O'Nien,15,4,2,0.8,8,13,4,0,increasing
540,Timothée Pembélé,15,0,0,0.0,10,15,0,0,stable
541,Reinildo Mandava,15,360,4,72.0,4,3,540,6,increasing
542,Jenson Seelt,15,0,0,0.0,10,13,0,0,stable
543,Simon Adingra,15,45,3,9.0,5,3,86,0,stable
544,Habib Diarra,15,0,0,0.0,10,11,0,0,stable
545,Patrick Roberts,15,0,0,0.0,10,13,0,0,stable
546,Milan Aleksić,15,0,0,0.0,10,15,0,0,stable
547,Enzo Le Fée,15,406,5,81.2,0,1,824,10,stable
548,Romaine Mundle,15,44,2,8.8,8,12,44,0,increasing
549,Dan Neil,15,0,0,0.0,9,7,1,0,decreasing
550,Ian Poveda-Ocampo,15,0,0,0.0,10,15,0,0,stable
551,Chris Rigg,15,0,0,0.0,7,6,148,1,decreasing
552,Noah Sadiki,15,431,5,86.2,0,0,881,10,stable
553,Chemsdine Talbi,15,238,5,47.6,0,0,414,3,increasing
554,Abdoullah Ba,15,0,0,0.0,10,15,0,0,stable
555,Alan Browne,15,0,0,0.0,10,15,0,0,stable
556,Pierre Ekwah Elimby,15,0,0,0.0,10,15,0,0,stable
557,Harrison Jones,15,0,0,0.0,10,15,0,0,stable
558,Jay Matete,15,0,0,0.0,10,15,0,0,stable
559,Nectarios Triantis,15,0,0,0.0,10,15,0,0,stable
560,Wilson Isidor,15,270,5,54.0,0,0,643,7,stable
561,Eliezer Mayenda Dossou,15,4,2,0.8,6,3,50,0,decreasing
562,Ahmed Abdullahi,15,0,0,0.0,10,15,0,0,stable
563,Luís Hemir Silva Semedo,15,0,0,0.0,10,15,0,0,stable
564,Nazarii Rusyn,15,0,0,0.0,10,15,0,0,stable
668,Granit Xhaka,15,432,5,86.4,0,0,882,10,stable
