id,name,full_name,team,position,total_minutes,games_played,total_points,recent_minutes,recent_games,minutes_per_recent_game,times_unavailable_last_10,estimated_injury_count,goals,assists,yellow_cards,red_cards,chance_of_playing,news,status,form,influence,creativity,threat,ict_index,selected_by_percent,estimated_age
711,Harriman-Annous,Andre Harriman-Annous,Arsenal,3,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.0,21
725,Hincapie,Piero Hincapié,Arsenal,2,383,4,16,357,4,89.25,4,0,0,0,1,0,100,,a,3.5,81.8,6.1,2.0,8.9,0.6,22
759,Salmon,Marli Salmon,Arsenal,2,0,0,0,0,0,0.0,1,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.0,22
32,Martinez,Emiliano Martínez Romero,Aston Villa,1,1080,12,54,360,4,90.0,1,0,0,0,1,0,100,,a,3.5,277.4,3.0,0.0,27.9,3.7,28
33,M.Bizot,Marco Bizot,Aston Villa,1,270,3,8,90,1,90.0,9,0,0,0,2,0,100,,a,0.2,49.4,0.0,0.0,5.0,0.4,23
34,Gauci,Joe Gauci,Aston Villa,1,0,0,0,0,0,0.0,10,15,0,0,0,0,100,Has joined Port Vale on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.1,23
35,Marschall,Filip Marschall,Aston Villa,1,0,0,0,0,0,0.0,10,15,0,0,0,0,100,Has joined Stevenage permanently.,u,0.0,0.0,0.0,0.0,0.0,0.0,23
36,Cash,Matty Cash,Aston Villa,2,1322,15,73,446,5,89.2,0,0,3,1,3,0,100,,a,5.2,344.0,219.4,106.0,67.0,9.7,27
37,Digne,Lucas Digne,Aston Villa,2,972,12,51,245,4,61.25,1,0,0,3,2,0,100,,a,2.2,179.0,222.2,61.0,46.0,1.9,27
38,Konsa,Ezri Konsa Ngoyo,Aston Villa,2,1235,14,46,450,5,90.0,0,0,0,0,0,1,100,,a,3.2,254.0,52.3,60.0,36.8,7.8,27
39,Maatsen,Ian Maatsen,Aston Villa,2,373,3,10,204,3,68.0,3,0,0,0,1,0,100,,a,1.0,89.4,109.9,63.0,26.3,0.4,22
40,Mings,Tyrone Mings,Aston Villa,2,497,6,24,0,0,0.0,8,8,0,0,0,0,100,Hamstring injury - Expected back 03 Jan,i,0.0,120.2,44.6,25.0,19.0,0.6,25
41,Pau,Pau Torres,Aston Villa,2,952,10,39,445,5,89.0,0,0,0,1,0,0,100,,a,3.5,207.6,17.3,26.0,25.3,0.6,27
42,A.García,Andrés García,Aston Villa,2,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.2,22
43,Alex Moreno,Álex Moreno Lopera,Aston Villa,2,0,0,0,0,0,0.0,10,15,0,0,0,0,100,Has joined Girona permanently.,u,0.0,0.0,0.0,0.0,0.0,2.0,22
44,Bogarde,Lamare Bogarde,Aston Villa,2,318,3,20,36,5,7.2,3,0,0,0,1,0,100,,a,1.0,41.2,33.5,6.0,8.0,0.6,22
45,Sousa,Lino da Cruz Sousa,Aston Villa,2,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.3,22
46,Yasin,Yasin Özcan,Aston Villa,2,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined Anderlecht on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.1,22
47,Rogers,Morgan Rogers,Aston Villa,3,1336,15,61,445,5,89.0,0,0,3,3,2,0,100,,a,6.5,266.4,248.0,272.0,78.5,10.2,26
48,Tielemans,Youri Tielemans,Aston Villa,3,601,7,20,286,5,57.2,5,0,0,1,0,0,100,,a,2.0,120.6,166.8,109.0,39.7,0.6,26
49,Bailey,Leon Bailey,Aston Villa,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,Has joined AS Roma on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.1,21
50,Buendía,Emiliano Buendía Stati,Aston Villa,3,540,6,48,175,5,35.0,1,0,4,2,2,0,100,,a,2.2,220.8,138.7,158.0,51.8,0.5,26
51,Iling Jr,Samuel Iling-Junior,Aston Villa,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined West Bromwich Albion on loan for the rest of the season,u,0.0,0.0,0.0,0.0,0.0,0.0,21
