id,code,web_name,first_name,second_name,full_name,team_id,team_name,team_short_name,team_strength,position_id,position,status,status_description,chance_of_playing_next,chance_of_playing_this,news,news_added,minutes,starts,expected_starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,influence,creativity,threat,ict_index,now_cost,selected_by_percent,in_dreamteam,fetch_date,current_gameweek,games_played,recent_minutes_last_5,recent_games_last_5,avg_minutes_per_game_last_5,times_unavailable_last_10,max_consecutive_unavailable,total_minutes_last_10,games_started_last_10,workload_trend,total_upcoming_fixtures,next_5_fixtures_count,avg_days_between_fixtures,congestion_level,home_fixtures_upcoming,away_fixtures_upcoming
14,588793,Kacurri,Maldini,Kacurri,Maldini Kacurri,1,Arsenal,ARS,5,2,DEF,u,Unavailable,0.0,0.0,has joined Morecambe on loan for the rest of the season.,2025-09-22T21:14:30.857843Z,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.9,0.1,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,10.0,Low,12,11
15,499167,Nichols,Josh,Nichols,Josh Nichols,1,Arsenal,ARS,5,2,DEF,a,Available,100.0,100.0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.8,0.2,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,10.0,Low,12,11
16,223340,Saka,Bukayo,Saka,Bukayo Saka,1,Arsenal,ARS,5,3,MID,a,Available,100.0,100.0,,2025-08-23T22:30:05.759392Z,968,11,7.14,4,2,5,6,0,0,0,0,1,0,284.2,349.3,347.0,98.1,10.2,19.4,False,2025-12-10 15:30:26,15,15,377,5,75.4,0,2,781,9,stable,23,5,10.0,Low,12,11
17,184029,Ødegaard,Martin,Ødegaard,Martin Ødegaard,1,Arsenal,ARS,5,3,MID,a,Available,100.0,100.0,,2025-10-04T20:00:07.945438Z,414,6,1.38,0,1,2,3,0,0,0,0,0,0,88.2,154.0,55.0,29.7,7.8,1.5,False,2025-12-10 15:30:26,15,15,213,3,42.6,5,5,250,2,increasing,23,5,10.0,Low,12,11
18,248857,Madueke,Noni,Madueke,Noni Madueke,1,Arsenal,ARS,5,3,MID,a,Available,100.0,100.0,,2025-09-21T22:30:05.839272Z,420,5,1.44,0,0,3,3,0,0,0,0,0,0,42.6,118.2,155.0,31.5,6.8,0.6,False,2025-12-10 15:30:26,15,15,116,4,23.2,6,6,116,1,increasing,23,5,10.0,Low,12,11
19,444145,Martinelli,Gabriel,Martinelli Silva,Gabriel Martinelli Silva,1,Arsenal,ARS,5,3,MID,a,Available,100.0,100.0,,2025-10-28T21:00:08.076588Z,334,4,1.06,1,0,2,2,0,0,0,0,0,0,58.0,45.8,110.0,21.5,6.8,0.9,False,2025-12-10 15:30:26,15,15,120,3,24.0,3,3,184,1,increasing,23,5,10.0,Low,12,11
20,116216,Trossard,Leandro,Trossard,Leandro Trossard,1,Arsenal,ARS,5,3,MID,d,Doubtful,75.0,75.0,Knock - 75% chance of playing,2025-11-27T10:00:06.582480Z,759,8,3.84,4,3,4,5,0,0,0,0,0,0,242.2,183.4,261.0,68.7,6.9,0.8,False,2025-12-10 15:30:26,15,15,207,3,41.4,2,2,628,7,decreasing,23,5,10.0,Low,12,11
21,204480,Rice,Declan,Rice,Declan Rice,1,Arsenal,ARS,5,3,MID,d,Doubtful,75.0,75.0,Illness - 75% chance of playing,2025-12-10T00:00:07.384168Z,1245,14,4.75,2,5,7,9,0,0,0,0,1,0,390.4,456.6,144.0,99.1,7.1,23.4,True,2025-12-10 15:30:26,15,15,442,5,88.4,0,0,871,10,stable,23,5,10.0,Low,12,11
22,195384,Merino,Mikel,Merino Zazón,Mikel Merino Zazón,1,Arsenal,ARS,5,3,MID,a,Available,100.0,100.0,,,725,8,2.97,3,3,3,6,0,0,0,0,0,0,227.8,120.0,155.0,50.0,6.0,4.0,False,2025-12-10 15:30:26,15,15,402,5,80.4,0,1,514,4,increasing,23,5,10.0,Low,12,11
23,438098,Fábio Vieira,Fábio,Ferreira Vieira,Fábio Ferreira Vieira,1,Arsenal,ARS,5,3,MID,u,Unavailable,0.0,0.0,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321Z,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.4,0.0,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,10.0,Low,12,11
24,128295,Nørgaard,Christian,Nørgaard,Christian Nørgaard,1,Arsenal,ARS,5,3,MID,a,Available,100.0,100.0,,2025-08-18T08:00:05.297235Z,14,0,0.05,0,0,0,0,0,0,0,0,0,0,6.4,0.1,7.0,1.4,5.2,0.1,False,2025-12-10 15:30:26,15,15,0,0,0.0,8,7,14,0,decreasing,23,5,10.0,Low,12,11
25,499175,Nwaneri,Ethan,Nwaneri,Ethan Nwaneri,1,Arsenal,ARS,5,3,MID,a,Available,100.0,100.0,,,165,0,0.31,0,0,1,0,0,0,0,0,0,0,8.6,22.5,24.0,5.4,5.1,0.1,False,2025-12-10 15:30:26,15,15,2,1,0.4,7,3,35,0,decreasing,23,5,10.0,Low,12,11
26,481655,Zubimendi,Martín,Zubimendi Ibáñez,Martín Zubimendi Ibáñez,1,Arsenal,ARS,5,3,MID,a,Available,100.0,100.0,,2025-11-01T18:30:07.784912Z,1263,14,1.65,2,1,8,9,0,0,0,0,3,0,247.4,203.9,75.0,52.8,5.3,2.4,False,2025-12-10 15:30:26,15,15,416,5,83.2,0,0,813,9,stable,23,5,10.0,Low,12,11
28,588796,Kabia,Ismeal,Kabia,Ismeal Kabia,1,Arsenal,ARS,5,3,MID,u,Unavailable,0.0,0.0,has joined Shrewsbury Town on loan for the rest of the season.,2025-09-02T13:24:41.013511Z,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.5,0.1,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,10.0,Low,12,11
29,437742,Sambi,Albert,Sambi Lokonga,Albert Sambi Lokonga,1,Arsenal,ARS,5,3,MID,u,Unavailable,0.0,0.0,has joined Hamburger permanently.,2025-09-02T13:40:53.094922Z,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.5,0.1,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,10.0,Low,12,11
